,0
AP3S1,1
EPS8,1
GARRE1,1
PMM1,1
FZD7,1
CEACAM6,1
VRK1,1
NR1H3,3
MPO,1
TPM2,1
ENPP4,1
204262_s_at,1
KIF21B,1
HOXB7,1
MN1,2
HOXB6,3
HOXB5,3
CTSG,1
BST1,1
CRHBP,2
IL3RA,2
FAM30A,2
CYP4F3,2
PTP4A3,2
HBD,2
IL11,2
IL12RB2,2
IL12A,3
PRTN3,1
SERPINI2,2
GPI,1
ACTN1,1
CD24P4,3
HMGN2P6,1
ELOVL5,1
HBB,1
PPM1B,1
CHI3L1,1
CD34,2
DLK1,3
SPC25,1
NRXN2,2
SPAG6,2
CST7,1
KLF1,2
CLIP2,2
HESX1,2
211821_x_at,1
OLFM4,1
TTC28,2
COL4A5,2
JCAD,3
SFMBT1,1
HOXA5,2
NKG7,1
GFOD2,1
HOXA1,1
SLITRK5,1
PHC1,2
DNAJC1,1
CNIH4,1
BAALC,2
AHSP,1
LHX6,1
ZNF532,1
PLEKHA5,2
LBH,1
HTR1F,2
ADGRA2,2
GUCY1A1,2
222222_s_at,1
GPR160,1
PKIB,2
GPR84,1
RIC1,1
TPRG1L,1
SKA2,1
SVIP,1
HAUS8,1
CD109,2
STARD9,2
227235_at,2
FAM171B,2
CPXM1,2
ILDR2,1
TRIM71,3
ZC3H12C,3
C3orf80,1
RBP7,2
HBM,1
243957_at,1
CACNA2D4,1
SGCZ,1
DSG2,2
C3orf33,1
DHX30,1
LINC00899,1
AKNA,1
KANSL1L-AS1,1
1558667_at,1
MAPKBP1,1
LINC00032,1
LINC00691,1
1561501_s_at,1
1561988_at,1
MARCHF1,1
1562749_at,1
IRGM,1
LINC01238,1
LINC02889,1
LRRTM4-AS1,1
PITPNA,1
APEX2,1
ANKRD6,1
HLF,1
TGFBRAP1,1
IL18,1
EEF1AKNMT,1
UPK3A,1
SCN7A,1
EDDM3A,1
OSBPL7,1
S100B,1
KRT16,1
LRIT1,1
LIMCH1,1
CAVIN3,1
ASTN1,1
RLN2,1
SBSPON,1
SLC39A9,1
ZNF962P,1
ROGDI,1
RNF128,1
GPR75,1
SLC25A32,1
NIBAN2,1
GUCA1C,1
CCDC50,1
TSPAN18,1
DIS3L2,1
ST6GALNAC1,1
MRGPRF,1
ASB2,1
CASC15,1
SYCN,1
PCDHB15,1
TSLP,1
LINC00992,1
MELTF-AS1,1
HSH2D,1
TMEM163,1
ANGPT1,1
UMODL1,1
CALN1,1
PTPRM,1
ERVFRD-1,1
1557410_at,1
KDSR,1
SSBP2,1
LINC00173,1
CKB,1
JUP,1
RCN1,1
FSCN1,1
KRT18,1
EFNA1,1
DOCK1,1
DUSP14,1
PALM,1
HPGD,1
P3H4,1
PRAME,1
ADA,1
ME3,1
AHDC1,1
PRSS2,1
CLTCL1,1
CROCC,1
CALCRL,1
TRH,1
CDK6,1
TNFSF4,1
MEF2C,1
SMAD1,1
208579_x_at,1
DGKZ,1
PDZD2,1
TFPI,1
OLR1,1
RAPGEF3,1
SCN3A,1
PXDN,1
CLIP3,1
LRRC8B,1
OLFML2A,1
NPTX2,1
FAM169A,1
DNM1,1
DUSP10,1
LAMB2,1
SPIN1,1
DNMT3A,1
RHBDF1,1
ARMCX1,1
GPRC5C,1
NYNRIN,1
ISYNA1,1
SH3BP4,1
NAT14,1
ATL1,1
KIAA1549,1
KCNK17,1
DLL1,1
TANC1,1
ABHD17C,1
SH3RF1,1
MANEAL,1
CARMIL2,1
ZBTB46,1
SLC22A15,1
MAMDC2,1
SHF,1
ZNF579,1
INKA1,1
PFKP-DT,1
SLITRK4,1
HOXB-AS3,1
BEND4,1
231412_at,1
PCDHB14,1
NOG,1
232227_at,1
STYXL2,1
ZNF792,1
MICU3,1
NPW,1
243452_at,1
